expr,time,NumberRows,NumberGroups,seconds,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",4105240,1000,10,0.0410524,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",6149047,1000,10,0.06149047,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",7320318,1000,10,0.07320318,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2880195,1000,10,0.02880195,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",5939685,1000,10,0.05939685,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",5844358,1000,10,0.05844358,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",4283428,1000,10,0.04283428,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",4189534,1000,10,0.04189534,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",4089579,1000,10,0.04089579,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",4346907,1000,10,0.04346907,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",5279486,1000,10,0.05279486,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",3853513,1000,10,0.03853513,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2806271,1000,10,0.02806271,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2786972,1000,10,0.02786972,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2840111,1000,10,0.02840111,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",7774436,1000,10,0.07774436,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2931585,1000,10,0.02931585,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",5085149,1000,10,0.05085149,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",6157309,1000,10,0.06157309,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",8454323,1000,10,0.08454323,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",6883906,1000,10,0.06883906,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",8347408,1000,10,0.08347408,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",9311644,1000,10,0.09311644,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",6128389,1000,10,0.06128389,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",8603996,1000,10,0.08603996,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",9868829,1000,10,0.09868829,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",5723965,1000,10,0.05723965,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",8142767,1000,10,0.08142767,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",8926115,1000,10,0.08926115,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",6523225,1000,100,0.06523225,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",6957788,1000,100,0.06957788,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",7172194,1000,100,0.07172194,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",5495108,1000,100,0.05495108,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",4318988,1000,100,0.04318988,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",4171032,1000,100,0.04171032,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",7042531,1000,100,0.07042531,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",4163560,1000,100,0.0416356,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",4050309,1000,100,0.04050309,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",5726804,1000,100,0.05726804,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",6996487,1000,100,0.06996487,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",7090387,1000,100,0.07090387,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",5998319,1000,100,0.05998319,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",5716771,1000,100,0.05716771,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",4287360,1000,100,0.0428736,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",4130267,1000,100,0.04130267,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",7311882,1000,100,0.07311882,Sorted
